日期,因素,参数值,期望总购电费_元,实际结算总购电费_元,计划购电量_kWh,期望紧急购电量_kWh,实际紧急购电量_kWh,实际充电量_kWh,实际放电量_kWh,实际弃用量_kWh,含续存价值目标值_元,续存价值_元每kWh,最大同时充放电量_kWh
2025-03-20,负荷规模,0.9,44562.933477311584,44478.07184798077,56835.55175436811,44.500803214086396,0.0,7974.139625149032,1582.7115141142535,0.0,39484.37094171445,0.48154814814814817,0.0
2025-03-20,负荷规模,1.0,51649.3197014713,51660.917218685565,65969.17275136335,0.0,5.380871671977022,5671.887534819605,1906.2957284509464,0.0,47268.48899212918,0.48154814814814817,0.0
2025-03-20,负荷规模,1.1,59888.99274162078,59888.99274162078,76888.91731748462,0.0,0.0,5054.523910809401,2139.4065833247805,0.0,55788.21283406766,0.48154814814814817,0.0
2025-03-20,光伏规模,0.9,55220.91660622913,55220.91660622913,71416.67915782746,0.0,0.0,5621.020859410015,1957.2455099158956,0.0,51010.71890762342,0.48154814814814817,0.0
2025-03-20,光伏规模,1.0,51649.3197014713,51660.917218685565,65969.17275136335,0.0,5.380871671977022,5671.887534819605,1906.2957284509464,0.0,47268.48899212918,0.48154814814814817,0.0
2025-03-20,光伏规模,1.1,49702.0482620998,49615.16238941089,63349.55398084111,54.698388361541085,7.9794248180380905,8445.266684239672,1752.7531035805146,0.0,44604.244715396446,0.48154814814814817,0.0
2025-03-20,电价水平,0.9,46484.38773132417,46494.82549681701,65969.17275136335,0.0,5.380871671977022,5671.887534819605,1906.2957284509464,0.0,42541.64009291626,0.4333933333333333,0.0
2025-03-20,电价水平,1.0,51649.3197014713,51660.917218685565,65969.17275136335,0.0,5.380871671977022,5671.887534819605,1906.2957284509464,0.0,47268.48899212918,0.48154814814814817,0.0
2025-03-20,电价水平,1.1,56814.25167161843,56827.00894055412,65969.17275136335,0.0,5.380871671977022,5671.887534819605,1906.2957284509464,0.0,51995.337891342104,0.529702962962963,0.0
2025-03-20,情景数量,15.0,51572.64388871008,51674.021275230894,65797.29047646513,0.0,46.38126559310908,5536.651010121825,1901.9410847302581,0.0,47546.91245976659,0.48154814814814817,0.0
2025-03-20,情景数量,30.0,51649.3197014713,51660.917218685565,65969.17275136335,0.0,5.380871671977022,5671.887534819605,1906.2957284509464,0.0,47268.48899212918,0.48154814814814817,0.0
2025-03-20,情景数量,45.0,51649.3197014713,51660.917218685565,65969.17275136335,0.0,5.380871671977022,5671.887534819605,1906.2957284509464,0.0,47268.48899212918,0.48154814814814817,0.0
2025-03-20,历史回看天数,15.0,51648.24975904498,51648.24975904498,65973.82585904031,0.0,0.0,5651.8387913014885,1886.9747489278425,0.0,47463.236350163694,0.48154814814814817,0.0
2025-03-20,历史回看天数,30.0,51649.3197014713,51660.917218685565,65969.17275136335,0.0,5.380871671977022,5671.887534819605,1906.2957284509464,0.0,47268.48899212918,0.48154814814814817,0.0
2025-03-20,历史回看天数,45.0,51767.971789559444,51792.00079198899,66282.76533513673,0.0,11.156280543011302,5984.282418995874,1899.322619982798,0.0,47753.85859751662,0.48154814814814817,0.0
2025-03-20,预测误差缩放,0.9,51604.20876820555,51623.84530219913,65854.7191912634,0.0,9.138299472543327,5563.658461094051,1908.7627870247813,0.0,47315.451863105794,0.48154814814814817,0.0
2025-03-20,预测误差缩放,1.0,51649.3197014713,51660.917218685565,65969.17275136335,0.0,5.380871671977022,5671.887534819605,1906.2957284509464,0.0,47268.48899212918,0.48154814814814817,0.0
2025-03-20,预测误差缩放,1.1,51694.988827966394,51694.988827966394,66085.18609171124,0.0,0.0,5777.964198576903,1901.739923532328,0.0,47221.54351569318,0.48154814814814817,0.0
2025-03-20,紧急电价倍数,3.0,51649.3197014713,51656.27821179986,65969.17275136335,0.0,5.380871671977022,5671.887534819605,1906.2957284509464,0.0,47268.48899212918,0.48154814814814817,0.0
2025-03-20,紧急电价倍数,5.0,51649.3197014713,51660.917218685565,65969.17275136335,0.0,5.380871671977022,5671.887534819605,1906.2957284509464,0.0,47268.48899212918,0.48154814814814817,0.0
2025-03-20,紧急电价倍数,7.0,51649.3197014713,51665.55622557127,65969.17275136335,0.0,5.380871671977022,5671.887534819605,1906.2957284509464,0.0,47268.48899212918,0.48154814814814817,0.0
2025-03-20,充放电效率,0.81,51848.08133827129,51848.08133827129,66450.61093460066,0.0,0.0,6028.368391420679,1786.7192734866803,0.0,47191.32838392198,0.5350534979423868,0.0
2025-03-20,充放电效率,0.9,51649.3197014713,51660.917218685565,65969.17275136335,0.0,5.380871671977022,5671.887534819605,1906.2957284509464,0.0,47268.48899212918,0.48154814814814817,0.0
2025-03-20,充放电效率,0.99,51542.880717249805,51542.880717249805,65699.26264099666,0.0,0.0,5401.669959802033,1911.3691354720424,0.0,47330.7880000528,0.4377710437710438,0.0
2025-03-20,续存价值倍率,0.0,51548.1245812475,51682.26989455155,65228.81331450149,93.20690730431598,68.19782491573828,4944.011891964443,1855.9625692138807,0.0,51548.1245812475,0.0,0.0
2025-03-20,续存价值倍率,1.0,51649.3197014713,51660.917218685565,65969.17275136335,0.0,5.380871671977022,5671.887534819605,1906.2957284509464,0.0,47268.48899212918,0.48154814814814817,0.0
2025-03-20,续存价值倍率,2.0,52407.21760057371,52407.21760057371,67856.23000517541,0.0,0.0,7345.72984649618,1698.4616579874323,0.0,42357.44495805769,0.9630962962962963,0.0
2025-03-20,初始储电量,5000.0,51310.80163417808,51310.80163417808,65097.0708049434,0.0,0.0,4860.539189354835,1972.4302010781053,0.0,46221.934726074156,0.48154814814814817,0.0
2025-03-20,初始储电量,6000.0,51310.80163417808,51310.80163417808,65097.0708049434,0.0,0.0,4860.539189354835,1972.4302010781053,0.0,46210.926257365,0.48154814814814817,0.0
2025-03-20,初始储电量,7000.0,51310.80163417808,51310.80163417808,65097.0708049434,0.0,0.0,4860.539189354835,1972.4302010781053,0.0,46210.926257365,0.48154814814814817,0.0
2025-06-21,负荷规模,0.9,26966.518287849794,27829.13560510651,36382.69767206721,17.678803357092125,251.7099980353789,11248.041353545343,592.4990415049128,14784.931438062154,22003.758839387483,0.48154814814814817,0.0
2025-06-21,负荷规模,1.0,30848.48950192382,31724.002471831373,41417.03839346382,28.338365466493848,260.07627577005144,11328.489039202068,667.2578734154655,11681.143103447273,25912.858122031164,0.48154814814814817,0.0
2025-06-21,负荷规模,1.1,34813.13005912731,35474.58764395896,46678.74807449877,9.623776611148765,186.45330462676424,11481.2759176101,800.6114514545784,8708.990032970007,29906.181632054773,0.48154814814814817,0.0
2025-06-21,光伏规模,0.9,31730.633978503975,32274.837579042898,42544.92566637088,5.734943791522346,154.04646097605553,11419.234858090102,740.7619867147761,6478.426415971616,26798.95409901191,0.48154814814814817,0.0
2025-06-21,光伏规模,1.0,30848.48950192382,31724.002471831373,41417.03839346382,28.338365466493848,260.07627577005144,11328.489039202068,667.2578734154655,11681.143103447273,25912.858122031164,0.48154814814814817,0.0
2025-06-21,光伏规模,1.1,30046.978180958195,30971.203573841463,40535.496447851125,17.34072702782596,264.3852954631136,11320.105918184528,660.4675453912614,17012.83541052098,25111.188565354027,0.48154814814814817,0.0
2025-06-21,电价水平,0.9,27763.640551731438,28429.05029543307,41469.31435454605,17.883173250048195,216.00375198016062,11371.66502495121,702.230421872272,11681.143103447273,23321.572309828047,0.4333933333333333,0.0
2025-06-21,电价水平,1.0,30848.48950192382,31724.002471831373,41417.03839346382,28.338365466493848,260.07627577005144,11328.489039202068,667.2578734154655,11681.143103447273,25912.858122031164,0.48154814814814817,0.0
2025-06-21,电价水平,1.1,33933.3384521162,34746.61702775153,41469.31435454605,17.883173250048195,216.00375198016062,11371.66502495121,702.230421872272,11681.143103447273,28504.14393423428,0.529702962962963,0.0
2025-06-21,情景数量,15.0,30971.23589705005,31929.264613760508,41267.162231739574,114.21184434473189,378.72724207029523,11318.738281472568,688.7323111099715,11681.143103447273,26459.24924149392,0.48154814814814817,0.0
2025-06-21,情景数量,30.0,30848.48950192382,31724.002471831373,41417.03839346382,28.338365466493848,260.07627577005144,11328.489039202068,667.2578734154655,11681.143103447273,25912.858122031164,0.48154814814814817,0.0
2025-06-21,情景数量,45.0,30848.48950192382,31724.002471831373,41417.03839346382,28.338365466493848,260.07627577005144,11328.489039202068,667.2578734154655,11681.143103447273,25912.858122031164,0.48154814814814817,0.0
2025-06-21,历史回看天数,15.0,31220.499995673727,31910.69091356258,42055.919667342896,78.14813414155472,220.28949922598127,11443.53852279647,704.0913544537793,12202.021598226194,26671.215424400405,0.48154814814814817,0.0
2025-06-21,历史回看天数,30.0,30848.48950192382,31724.002471831373,41417.03839346382,28.338365466493848,260.07627577005144,11328.489039202068,667.2578734154655,11681.143103447273,25912.858122031164,0.48154814814814817,0.0
2025-06-21,历史回看天数,45.0,30813.27040481355,31974.66255416546,41345.00188302924,26.583677270971258,382.9830396099523,11362.89377494112,650.7923557491974,11681.143103447273,25817.115358857718,0.48154814814814817,0.0
2025-06-21,预测误差缩放,0.9,30821.25907473941,31711.16221895027,41401.37191413183,18.54858052488938,273.4334355378155,11331.793963314232,672.8721170918609,11681.143103447273,25859.11883283602,0.48154814814814817,0.0
2025-06-21,预测误差缩放,1.0,30848.48950192382,31724.002471831373,41417.03839346382,28.338365466493848,260.07627577005144,11328.489039202068,667.2578734154655,11681.143103447273,25912.858122031164,0.48154814814814817,0.0
2025-06-21,预测误差缩放,1.1,30875.719929108232,31645.765236457246,41471.04470248756,30.460184469747666,216.59395126879238,11368.989489003441,697.2343386943551,11681.143103447273,25966.597411226307,0.48154814814814817,0.0
2025-06-21,紧急电价倍数,3.0,30822.53892743815,31308.625127473173,41411.00088836482,30.287993063755653,270.3331525147608,11350.696258389999,685.2457209576903,11681.143103447273,25886.907547545492,0.48154814814814817,0.0
2025-06-21,紧急电价倍数,5.0,30848.48950192382,31724.002471831373,41417.03839346382,28.338365466493848,260.07627577005144,11328.489039202068,667.2578734154655,11681.143103447273,25912.858122031164,0.48154814814814817,0.0
2025-06-21,紧急电价倍数,7.0,30848.489501923825,31564.74603075405,41558.73022079629,0.0,138.25366480296876,11433.063862177787,751.9634800257982,11681.143103447273,25912.858122031168,0.48154814814814817,0.0
2025-06-21,充放电效率,0.81,30955.117544056226,31676.052695186452,41659.459557798284,33.251378719800314,237.73105552003463,12733.086033811862,651.6090905063434,10480.973270012797,25477.782482490096,0.5350534979423868,0.0
2025-06-21,充放电效率,0.9,30848.48950192382,31724.002471831373,41417.03839346382,28.338365466493848,260.07627577005144,11328.489039202068,667.2578734154655,11681.143103447273,25912.858122031164,0.48154814814814817,0.0
2025-06-21,充放电效率,0.99,30785.51510999535,31520.954527064194,41313.57661341016,25.37190741914322,281.470619903121,10358.238909823822,797.7628566780327,12699.830780167493,26260.093649053335,0.4377710437710438,0.0
2025-06-21,续存价值倍率,0.0,30834.511937119332,31594.149646875067,41426.33044165266,19.70316831666504,225.1037273132449,11347.920887556962,712.3702220383321,11681.143103447273,30834.511937119332,0.0,0.0
2025-06-21,续存价值倍率,1.0,30848.48950192382,31724.002471831373,41417.03839346382,28.338365466493848,260.07627577005144,11328.489039202068,667.2578734154655,11681.143103447273,25912.858122031164,0.48154814814814817,0.0
2025-06-21,续存价值倍率,2.0,31037.476589647275,31912.989559554826,41872.94636533962,28.338365466493848,260.07627577005144,11329.75207537604,614.0524934145394,12082.582659148178,20899.127333669145,0.9630962962962963,0.0
2025-06-21,初始储电量,5000.0,30614.312472796326,30614.312472796326,41006.07528588378,0.0,0.0,7760.848986102669,1162.249744029234,15072.735643810352,25678.68109290367,0.48154814814814817,0.0
2025-06-21,初始储电量,6000.0,30614.312472796326,30614.312472796326,41006.07528588378,0.0,0.0,6649.737874991559,1162.249744029234,16183.846754921462,25678.68109290367,0.48154814814814817,0.0
2025-06-21,初始储电量,7000.0,30614.312472796326,30614.312472796326,41006.07528588378,0.0,0.0,5538.626763880447,1162.249744029234,17294.957866032575,25678.68109290367,0.48154814814814817,0.0
2025-09-23,负荷规模,0.9,47393.78896894041,46864.20737245225,59477.92696603747,264.07850866682963,0.0,10806.742470536115,1510.2536767098295,183.05072221117942,42810.29493785922,0.48154814814814817,0.0
2025-09-23,负荷规模,1.0,54691.267463755066,54691.267463755066,70011.46397374594,0.0,0.0,9776.060474631973,1889.2524556885382,8.04037146916869,50465.07890730561,0.48154814814814817,0.0
2025-09-23,负荷规模,1.1,63411.523204143465,63411.523204143465,81927.09451570325,0.0,0.0,9951.224147654895,2426.7400171952013,167.7666685768903,59289.15238606711,0.48154814814814817,0.0
2025-09-23,光伏规模,0.9,58083.126591870656,58083.126591870656,75291.17756419344,0.0,0.0,9478.886004908927,2326.927805540235,116.03720649141053,53993.98323705333,0.48154814814814817,0.0
2025-09-23,光伏规模,1.0,54691.267463755066,54691.267463755066,70011.46397374594,0.0,0.0,9776.060474631973,1889.2524556885382,8.04037146916869,50465.07890730561,0.48154814814814817,0.0
2025-09-23,光伏规模,1.1,52860.203306631964,52251.856565751514,66311.73209099239,304.0595568361523,0.0,10893.75242010141,1700.3382370849972,908.2688996426566,48285.57115781738,0.48154814814814817,0.0
2025-09-23,电价水平,0.9,49222.14071737956,49222.14071737956,70011.46397374594,0.0,0.0,9776.060474631973,1889.2524556885382,8.04037146916869,45418.57101657505,0.4333933333333333,0.0
2025-09-23,电价水平,1.0,54691.267463755066,54691.267463755066,70011.46397374594,0.0,0.0,9776.060474631973,1889.2524556885382,8.04037146916869,50465.07890730561,0.48154814814814817,0.0
2025-09-23,电价水平,1.1,60160.39421013057,60160.39421013057,70011.46397374594,0.0,0.0,9776.060474631973,1889.2524556885382,8.04037146916869,55511.586798036165,0.529702962962963,0.0
