日期,小区负载电量_kWh,决策用负荷预测电量_kWh,光伏实际电量_kWh,计划购电量_kWh,调整购电量_kWh,调整净变化_kWh,上调购电量_kWh,下调购电量_kWh,紧急购电量_kWh,充电量_kWh,放电量_kWh,实际弃光量_kWh,计划购电费_元,调整费用_元,紧急购电费_元,总费用_元,0:00储电量_kWh,24:00储电量_kWh
2025-02-01,76305.20628333333,81335.51170416665,41927.03035,48569.036773887055,46244.84080876695,-2324.195965120103,0.0,2324.1959651200937,0.0,15388.011293141288,12109.151121926334,8587.804704218668,31021.222666062033,820.6095481043228,0.0,31841.832214166356,5060.0388032197625,5454.636609350997
2025-02-02,121705.97265,126697.33516666666,43349.69469999999,90724.73705882329,89701.63997266653,-1023.0970861567621,159.7770833333335,1182.8741694901034,0.0,19843.817953910657,16228.760656871693,7730.304725627573,64899.412224620704,769.9308002838067,0.0,65669.3430249045,5454.636609350997,5282.116482457594
2025-02-03,122603.769,126503.91657083333,42386.85249999999,94263.01870180709,94177.31692398881,-85.70177781827806,178.62124600000004,264.3230238182948,0.0,19785.764083041453,14639.929875002043,8814.56621594939,67763.24676640064,295.18841307778246,0.0,68058.43517947842,5282.116482457594,6822.71540719264
2025-02-04,121578.09884999998,126570.92739583332,40383.2349,98989.15482411251,99489.21391544586,500.05909133334353,500.05909133333324,0.0,0.0,21718.19867062757,14147.675771848375,10723.827066666669,71731.42407977325,367.30263136814995,0.0,72098.7267111414,6822.71540719264,10649.454464259261
2025-02-05,121991.08443333334,126441.21908333333,41242.65745,91173.97237908661,91737.68138019773,563.709001111114,563.7090011111111,0.0,1.1368683772161603e-13,22444.0465197803,18223.702154980376,6768.910032064473,63930.071255731455,405.852935442,4.798721420229413e-13,64335.92419117346,10649.454464259261,10600.538382083336
2025-02-06,122252.1627,126560.21587083333,41981.10548333333,96728.74521075164,96783.82857741832,55.0833666666731,55.08336666666685,0.0,2.2737367544323206e-13,18689.046097058577,15102.675232909118,12926.400496602197,68137.51878919054,41.51908762500013,9.398490874445997e-13,68179.03787681554,10600.538382083336,10639.929610648147
2025-02-07,76168.59693333332,80678.042575,44362.91726666666,44163.787387064716,44163.787387064716,0.0,0.0,0.0,0.0,18391.725279155336,15231.31221199083,9197.69465323355,23361.35427395021,0.0,0.0,23361.35427395021,10639.929610648147,10268.802126342593
2025-02-08,75746.78751666666,79938.88075833333,44169.6248,38186.662990304016,38225.964540551104,39.30155024708802,39.30155024708654,0.0,0.0,19577.90901936683,15908.366580770466,2979.2593852880664,19940.127142875113,72.075112998132,0.0,20012.202255873246,10268.802126342593,10212.95737625
2025-02-09,121547.90356666666,125205.29862083332,41992.48759999999,87971.85132104115,87971.85132104115,0.0,0.0,0.0,0.0,20982.435618672826,16776.9128440823,4210.912579783959,56656.55370404431,0.0,0.0,56656.55370404431,10212.95737625,10456.135161852993
2025-02-10,121477.56451666665,125448.18629166667,47150.92693333333,83934.15022780909,83934.15022780909,0.0,0.0,0.0,0.8591875000001892,20319.80876800284,16523.74712605555,5812.310190028471,53346.81648316044,0.0,4.024434250000855,53350.84091741044,10456.135161852993,10384.244024104939
2025-02-11,121441.28161666667,125233.58657083331,46220.68448333333,84772.81715896109,84775.85169229441,3.0345333333243616,3.0345333333334565,0.0,10.902175000000057,22930.204570181755,18658.824325829737,5294.776489609052,53645.32013513846,5.2878260600002145,51.065787700000264,53701.67374889846,10384.244024104939,10289.401108568816
2025-02-12,121363.85288333334,125265.00420416666,46097.116749999994,84916.32500667353,84916.32500667353,0.0,0.0,0.0,3.330337500000155,21150.16832270488,17135.106188640948,5637.857076776274,53900.08366795369,0.0,15.59930085000063,53915.68296880369,10289.401108568816,10285.545722735484
2025-02-13,121310.28371666666,125356.60199583332,49980.80469999999,82449.49972813744,82449.49972813744,0.0,0.0,0.0,2.2737367544323206e-13,21146.715960212074,16995.919289553156,6969.224040811862,51438.53818861787,0.0,9.488303476246074e-13,51438.53818861787,10285.545722735484,10433.23532075617
2025-02-14,75872.63794999999,79348.53220416667,46070.83613333333,37489.76669635976,37489.76669635976,0.0,0.0,0.0,0.0,19641.944646928085,16208.834970578617,4254.855203343628,19650.27080502601,0.0,0.0,19650.27080502601,10433.23532075617,10101.168869015208
2025-02-15,76054.55225,78473.02889583333,46774.46115,37843.06393760604,37843.06393760604,0.0,0.0,0.0,2.2737367544323206e-13,19761.9416880162,16163.84916488203,4964.880314471875,19775.64667847325,0.0,7.626681508554611e-13,19775.64667847325,10101.168869015208,9927.083982805309
2025-02-16,121276.97728333331,123962.44277083332,45899.59818333333,85383.90250634486,85383.90250634486,0.0,0.0,0.0,1.1368683772161603e-13,21344.61672406318,17056.202898307623,5718.1095805893165,54409.85983227227,0.0,4.3451109377201647e-13,54409.85983227227,9927.083982805309,10185.90248078704
2025-02-17,120960.37281666666,124072.487475,49776.50964999999,85036.20030058299,85036.20030058299,0.0,0.0,0.0,0.0,18446.93060300069,15027.985534833333,10433.392065748973,53092.31379375052,0.0,0.0,53092.31379375052,10185.90248078704,10090.378318117286
2025-02-18,121331.27123333333,123816.53432083334,49239.883449999994,75730.69951238923,76587.42579454291,856.726282153686,856.7262821536904,0.0,9.355908333333787,20549.49250982356,16667.76800422097,623.669413940323,47513.63568414627,1539.4194525980083,43.82307463333549,49096.87821137761,10090.378318117286,10065.179350046295
2025-02-19,121866.79411666666,123864.99268333333,48987.466733333335,76081.33084759516,76864.73386872016,783.4030211249919,783.4030211249994,0.0,149.11772916666712,21469.4122481653,17957.38468755556,622.4966539437609,47762.53200414781,1561.6658822182749,788.323766811114,50112.521653177195,10065.179350046295,9435.000720555561
2025-02-20,121105.25703333333,123982.23187916666,50112.12329999999,79810.15564963587,79810.15564963587,0.0,0.0,0.0,51.456312499999854,20848.530169828082,16228.141540708337,4248.08959968279,49595.138620765254,0.0,241.0213677499993,49836.159988515254,9435.000720555561,10167.409494836022
2025-02-21,75802.00203333332,78097.67264166666,50241.74,35147.48056106304,35147.48056106304,0.0,0.0,0.0,0.0,20303.58586116255,16684.292109032976,5967.924775600133,18149.328232562413,0.0,0.0,18149.328232562413,10167.409494836022,9902.53442651234
2025-02-22,75682.24226666667,77184.65258333334,47837.47938333333,34818.18112994978,34845.90000561645,27.71887566667283,27.718875666668453,0.0,146.59640833333475,20571.086963653488,16774.226193467588,3350.872760430552,18151.66175970136,28.684878483651847,841.6270111291749,19021.973649314186,9902.53442651234,9778.483589947606
2025-02-23,121142.14093333333,122728.9755375,49610.287249999994,77777.64846586445,77778.43904919777,0.7905833333206829,0.7905833333333021,0.0,56.4520833333338,23300.255700567544,18836.58432885701,1839.3660774872315,48109.44077888731,1.110927699999956,261.3504828333354,48371.902189420645,9778.483589947606,9819.175577283948
2025-02-24,120628.98854999998,122671.16414166667,52425.954933333334,73756.41731410168,73756.41731410168,0.0,0.0,0.0,34.14808333333315,22015.6260199417,17711.90960054167,1283.8153613683153,46126.08079467668,0.0,157.53087829166586,46283.61167296835,9819.175577283948,9953.339439074074
2025-02-25,121093.33288333332,122711.81565833333,55272.00965,75588.3369287824,75588.3369287824,0.0,0.0,0.0,66.31333333333328,19760.075930619067,16088.965681745885,6162.216779909219,47248.91532179022,0.0,296.4063599999997,47545.32168179022,9953.339439074074,9860.779241358026
2025-02-26,121060.73411666666,122661.794075,52245.88608333333,67660.42464620722,72285.55242492142,4625.127778714203,4625.127778714183,0.0,158.21530206944487,19540.486689833793,15935.3528795096,23.785883333333572,41827.630162020345,8238.38635232715,745.1639491658215,50811.180463513316,9860.779241358026,9741.269618308888
2025-02-27,120599.48893333334,122669.68834999998,53642.90473333333,69160.55800979589,70683.53818435321,1522.9801745573204,1522.9801745573363,0.0,570.5654210972194,22029.42021896434,17744.813517680555,12.912704166667027,43068.05834035385,2950.858939728319,2832.8412808091543,48851.75856089132,9741.269618308888,9851.288351287285
2025-02-28,75385.10795,76963.289225,52092.51439999999,33571.94579380499,34039.12668551899,467.1808917140006,467.18089171399805,0.0,107.1312583333339,20421.309567330958,16489.06250202997,6921.417328551331,17563.749210376413,513.6928201365989,623.77847567917,18701.22050619218,9851.288351287285,9909.286404074075
2025-03-01,72244.16014999998,75947.19707916665,48585.39421666667,36163.02643995068,36163.02643995068,0.0,0.0,0.0,1.7053025658242404e-13,17890.239170964673,14553.31306697566,9167.334402628334,18757.98652897455,0.0,7.611333785462194e-13,18757.98652897455,9909.286404074075,9840.153805747097
2025-03-02,117860.41708333333,121418.24860833332,45502.110016666666,79937.64810386053,81514.4122332772,1576.7641294166679,1576.7641294166676,0.0,296.02592229166635,22639.088138014402,18383.596322589052,5196.639273476854,49209.68058073733,2015.7496371312823,1672.4278428413525,52897.858060709965,9840.153805747097,9789.11499375
2025-03-03,117958.7456,121417.67372083334,45941.59896666666,81304.00286772507,81605.62377120256,301.6209034774947,301.6209034774996,0.0,117.01891558333716,20694.38271889084,17114.736373,6125.849707561729,50846.944707030896,571.4678262584271,541.2851091035179,51959.69764239284,9789.11499375,9397.685692973975
2025-03-04,118139.02498333334,121360.99614583331,48939.56705,73071.18218868761,73771.24654985427,700.0643611666601,700.0643611666678,0.0,0.6247333333335519,21902.514688722335,17423.975447669996,93.87410880194182,45096.28828782461,912.3840046631327,2.9262509333343454,46011.598543421074,9397.685692973975,9749.976193190741
2025-03-05,118073.44383333332,121570.61638749999,51942.971816666664,76027.23406521804,76027.23406521804,0.0,0.0,0.0,3.3316333333335706,20412.06266241716,16271.35448955457,5759.385509022121,47020.74326926279,0.0,15.605370533334439,47036.348639796124,9749.976193190741,10041.549823194442
2025-03-06,117673.59855,121316.79809583332,51732.944416666665,70921.99312523344,71695.08307106677,773.0899458333297,773.0899458333333,0.0,0.0,21467.330958944956,17469.997760245413,1757.0957390338954,43799.97050567358,800.032130445625,0.0,44600.0026361192,10041.549823194442,9951.03906375
2025-03-07,71680.36145,75807.08621666666,50758.07591666667,33868.13433458179,33868.13433458179,0.0,0.0,0.0,0.0,19703.59214124268,15507.500757781578,8749.757417787354,18032.595914172725,0.0,0.0,18032.595914172725,9951.03906375,10453.715593333334
