日期,时段序号,时段,电价_元每kWh,小区负载_kW,小区负载电量_kWh,决策用负荷预测_kW,决策用负荷预测电量_kWh,光伏实际_kW,光伏0时预报_kW,最终采用预报_kW,计划购电量_kWh,调整购电量_kWh,充电量_kWh,放电量_kWh,紧急购电量_kWh,实际弃光量_kWh,时段初储电量_kWh,时段末储电量_kWh,计划购电费_元,调整费用_元,紧急购电费_元
2025-02-01,1,0:00-0:10,0.4248,2532.1822,422.0303666666667,2683.68735,447.281225,0.0,0.0,0.0,0.0,0.0,0.0,422.0303666666667,0.0,0.0,3667.9994338588963,3199.0768042292666,0.0,0.0,0.0
2025-02-01,2,0:10-0:20,0.4245,2492.4439,415.4073166666667,2719.620925,453.27015416666666,0.0,0.0,0.0,0.0,0.0,0.0,415.4073166666667,0.0,0.0,3199.0768042292666,2737.5131190440816,0.0,0.0,0.0
2025-02-01,3,0:20-0:30,0.4269,2464.3,410.7166666666667,2762.1625,460.36041666666665,0.0,0.0,0.0,0.0,0.0,0.0,410.7166666666667,0.0,0.0,2737.5131190440816,2281.16126719223,0.0,0.0,0.0
2025-02-01,4,0:30-0:40,0.4272,2581.7688,430.29479999999995,2740.6239,456.77065,0.0,0.0,0.0,438.23162777777776,438.23162777777776,7.936827777777808,0.0,0.0,0.0,2281.16126719223,2288.30441219223,187.21255138666666,0.0,0.0
2025-02-01,5,0:40-0:50,0.4271,2546.4635,424.4105833333333,2762.793525,460.46558749999997,0.0,0.0,0.0,460.23119861111104,460.23119861111104,35.82061527777773,0.0,0.0,0.0,2288.30441219223,2320.54296594223,196.5647449268055,0.0,0.0
2025-02-01,6,0:50-1:00,0.4285,2436.31,406.0516666666666,2855.34,475.89,0.0,0.0,0.0,497.19888888888886,497.19888888888886,91.14722222222224,0.0,0.0,0.0,2320.54296594223,2402.5754659422296,213.04972388888888,0.0,0.0
2025-02-01,7,1:00-1:10,0.4311,2620.5011,436.7501833333333,2917.648275,486.27471249999996,0.0,0.0,0.0,515.788123611111,515.788123611111,79.0379402777777,0.0,0.0,0.0,2402.5754659422296,2473.7096121922295,222.35626008874996,0.0,0.0
2025-02-01,8,1:10-1:20,0.4302,2710.7861,451.7976833333333,2855.874575,475.9790958333333,0.0,0.0,0.0,504.2147736111111,504.2147736111111,52.417090277777845,0.0,0.0,0.0,2473.7096121922295,2520.8849934422296,216.91319560750003,0.0,0.0
2025-02-01,9,1:20-1:30,0.4279,2676.48,446.08,2776.32,462.72,0.0,0.0,0.0,573.3210930041135,573.3210930041135,127.24109300411357,0.0,0.0,0.0,2520.8849934422296,2635.401977145932,245.32409569646018,0.0,0.0
2025-02-01,10,1:30-1:40,0.4312,2830.598,471.7663333333333,2884.2186500000003,480.7031083333333,0.0,0.0,0.0,551.7509666666667,551.7509666666667,79.98463333333342,0.0,0.0,0.0,2635.401977145932,2707.388147145932,237.91501682666672,0.0,0.0
