日期,时段序号,时段,电价_元每kWh,小区负载_kW,小区负载电量_kWh,光伏实际_kW,光伏0时预报_kW,最终采用预报_kW,计划购电量_kWh,调整购电量_kWh,充电量_kWh,放电量_kWh,紧急购电量_kWh,实际弃光量_kWh,时段末储电量_kWh,计划购电费_元,调整费用_元,紧急购电费_元
2025-02-01,1,0:00-0:10,0.4248,2532.1822,422.0303666666667,0.0,0.0,0.0,422.0303666666667,422.0303666666667,0.0,0.0,0.0,0.0,6000.0,179.27849976000002,0.0,0.0
2025-02-01,2,0:10-0:20,0.4245,2492.4439,415.4073166666667,0.0,0.0,0.0,1136.5095594650193,1136.5095594650193,721.1022427983527,0.0,0.0,0.0,6648.992018518517,482.44830799290065,0.0,0.0
2025-02-01,3,0:20-0:30,0.4269,2464.3,410.7166666666667,0.0,0.0,0.0,410.7166666666667,410.7166666666667,0.0,0.0,0.0,0.0,6648.992018518517,175.334945,0.0,0.0
2025-02-01,4,0:30-0:40,0.4272,2581.7688,430.29479999999995,0.0,0.0,0.0,430.29479999999995,430.29479999999995,0.0,0.0,0.0,0.0,6648.992018518517,183.82193855999998,0.0,0.0
2025-02-01,5,0:40-0:50,0.4271,2546.4635,424.4105833333333,0.0,0.0,0.0,424.4105833333333,424.4105833333333,0.0,0.0,0.0,0.0,6648.992018518517,181.26576014166665,0.0,0.0
2025-02-01,6,0:50-1:00,0.4285,2436.31,406.0516666666666,0.0,0.0,0.0,406.0516666666666,406.0516666666666,0.0,0.0,0.0,0.0,6648.992018518517,173.99313916666665,0.0,0.0
2025-02-01,7,1:00-1:10,0.4311,2620.5011,436.7501833333333,0.0,0.0,0.0,436.7501833333333,436.7501833333333,0.0,0.0,0.0,0.0,6648.992018518517,188.28300403499998,0.0,0.0
2025-02-01,8,1:10-1:20,0.4302,2710.7861,451.7976833333333,0.0,0.0,0.0,451.7976833333333,451.7976833333333,0.0,0.0,0.0,0.0,6648.992018518517,194.36336337,0.0,0.0
2025-02-01,9,1:20-1:30,0.4279,2676.48,446.08,0.0,0.0,0.0,446.08,446.08,0.0,0.0,0.0,0.0,6648.992018518517,190.877632,0.0,0.0
2025-02-01,10,1:30-1:40,0.4312,2830.598,471.7663333333333,0.0,0.0,0.0,471.7663333333333,471.7663333333333,0.0,0.0,0.0,0.0,6648.992018518517,203.42564293333334,0.0,0.0
2025-02-01,11,1:40-1:50,0.4333,2688.1558,448.02596666666665,0.0,0.0,0.0,448.02596666666665,448.02596666666665,0.0,0.0,0.0,0.0,6648.992018518517,194.12965135666667,0.0,0.0
2025-02-01,12,1:50-2:00,0.4311,2384.42,397.4033333333333,0.0,0.0,0.0,397.4033333333333,397.4033333333333,0.0,0.0,0.0,0.0,6648.992018518517,171.320577,0.0,0.0
2025-02-01,13,2:00-2:10,0.4293,2604.5438,434.0906333333333,0.0,0.0,0.0,434.0906333333333,434.0906333333333,0.0,0.0,0.0,0.0,6648.992018518517,186.35510889,0.0,0.0
2025-02-01,14,2:10-2:20,0.4324,2943.3655,490.5609166666666,0.0,0.0,0.0,490.5609166666666,490.5609166666666,0.0,0.0,0.0,0.0,6648.992018518517,212.11854036666665,0.0,0.0
